ID,BookID,Genre,SeriesID,Volume Number,Staff Comment
1,MM424,Young Adult,,,Would you want to live forever? Doesn't that depend on what sort of life you'd have—and who you'd spend it with? 
2,NR695,Mystery,IR-ESP,1,
3,AM124,Fiction,,,"""This graphic novel is better than years of marriage counceling"""
4,AK974,Young Adult,,,
5,AD222,Childrens,,,Alanna didn't expect this Tuesday to be any different than the Tuesday before and the Tuesday before that. She was wrong. Can she make it to Wednesday?
6,AY135,Fiction,,,
7,BB194,SciFi/Fantasy,,,What? Disaster. Where? The stars. When? Now. Who? The Ballinby Boys. How? You'll have to turn the page to find out…
8,BF889,Childrens,BS-CHP,1,Glug glug glug BANANA SLUG! 
9,BC244,Childrens,BS-CHP,2,Can Banana Slug find Farmer Fern's missing cow before dark?
10,BR858,Childrens,BS-CHP,3,Come play on a rainy day! Bad weather can't stop Banana Slug!
11,BF374,Childrens,BS-CHP,4,
12,BS284,Romance,EL-SSC,7,Book Seven of Esme's Ladies
13,CH391,Young Adult,,,
14,CC830,SciFi/Fantasy,,,
15,CP573,SciFi/Fantasy,,,As someone who hates prophecy Lydan seems an unlikely guardian of the Prophetic Vaults of Yu'ul. But it was prophecied that someone matching her description would someday save Yu'ul from its doom. The Elders don't take such things lightly. But what Lydan asks herself does it mean to save something? Especially when the cost is...concerning. 
16,DY800,Fiction,MT-ESP,3,"""The best beach-book I've ever read"" ""Easy and fun without being vapid"" "
17,DE571,Nonfiction,,,
18,DR914,SciFi/Fantasy,,,
19,HS107,Nonfiction,,,"#QuokkaSelfie took the internet by storm in the early 21s. These adorable marsupials quickly dubbed ""the happiest animal on Earth"" became an internet sensation when tourists started posting selfies with the smiling mammals. Rottnest Island once an Australian Aboriginal penal colony transformed into an eco-tourism destination thanks to these picture-perfect smiling creatures. But even beaming quokkas can't escape the darker side of intense human attention. Reports began circulating of quokkas being kicked liked footballs. Instagram labeled #QuokkaSelfie as potentially violating animal welfare. Conservationists decried ""lumpy jaw"" a potentially fatal infection caused by bread fed to these herbivores from human hands. In this—ultimately hopeful—exploration of #QuokkaSelfie Langston Lippman and colleagues take a deeper look at the phenomenon of celebrating nature to the brink of destroying it. "
20,HP265,Childrens,,,Wilberforce isn't sure about bedtime in a new bed in a new house in a new town. But when his grandmother brings him a pair of heliotrope pajamas Wilberforce finds out bedtime can be downright magical. 
21,IC739,Memoir,,,Lowry's comedic genius shines through every moment of her memoir. Told with clear eyes and biting wit the anecdotes of each chapter bring to life a world of eccentric academics. The literarily-inclinded daughter of a physicist  and an epidemiologist Lowry was forced to find her own way toward normal through an upbringing that was anything but. 
22,IA439,Fiction,,,
23,IG460,Young Adult,,,
24,KA663,Fiction,,,
25,LB510,Romance,EL-SSC,5,Book Five of Esme's Ladies
26,LS176,Nonfiction,,,
27,MW621,Romance,EL-SSC,2,Book Two of Esme's Ladies
28,NP937,Nonfiction,,,
