ID,Sale Date,ISBN,Discount,ItemID,OrderID
1,1/2/2193,989-28-3705-007-2,,107020-91-8011,107020-1
2,1/2/2193,989-28-79-11297-4,,107020-9-3293,107020-10
3,1/2/2193,989-28-79-11297-4,,107020-91-4622,107020-11
4,1/2/2193,989-28-79-18127-7,,107020-38-4663,107020-12
5,1/2/2193,989-28-79-82197-5,0.15,107020-1-1485,107020-13
6,1/2/2193,989-28-79-05638-4,,107020-52-7106,107020-14
7,1/2/2193,989-28-654-5018-9,,107020-93-2425,107020-15
8,1/2/2193,989-28-79-69807-2,,107020-1-6589,107020-16
9,1/2/2193,989-28-79-69807-2,,107020-44-1929,107020-17
10,1/2/2193,989-28-79-05670-4,,107020-37-9059,107020-18
11,1/2/2193,989-28-79-82749-6,,107020-34-6800,107020-19
12,1/2/2193,989-28-3705-987-7,,107020-1-850,107020-2
13,1/2/2193,989-28-79-82125-8,,107020-78-6994,107020-20
14,1/2/2193,989-28-79-69807-2,,107020-89-7892,107020-21
15,1/2/2193,989-28-79-69807-2,,107020-89-7891,107020-22
16,1/2/2193,989-28-79-05670-4,,107020-75-649,107020-23
17,1/2/2193,989-28-79-05670-4,,107020-16-5025,107020-24
18,1/2/2193,989-28-79-69807-2,,107020-1-6590,107020-25
19,1/2/2193,989-28-229-6632-6,0.1,107020-80-960,107020-26
20,1/2/2193,989-28-229-1404-4,,107020-73-9433,107020-27
21,1/2/2193,989-28-229-1404-4,,107020-24-5674,107020-28
22,1/2/2193,989-28-79-13801-1,,107020-12-8333,107020-29
23,1/2/2193,989-28-3705-966-2,,107020-7-2469,107020-3
24,1/2/2193,989-28-79-23023-4,,107020-96-5059,107020-30
25,1/2/2193,989-28-79-13801-1,,107020-43-9356,107020-31
26,1/2/2193,989-28-79-36485-4,,107020-32-5821,107020-32
27,1/2/2193,989-28-79-91028-0,,107020-43-9068,107020-33
28,1/2/2193,989-28-79-23023-4,,107020-26-4804,107020-34
29,1/2/2193,989-28-79-23023-4,,107020-31-393,107020-35
30,1/2/2193,989-28-79-23023-4,,107020-99-281,107020-36
31,1/2/2193,989-28-3705-492-6,,107020-59-4445,107020-37
32,1/2/2193,989-28-3705-222-9,,107020-48-2656,107020-38
33,1/2/2193,989-28-79-68089-3,0.05,107020-1-4349,107020-39
34,1/2/2193,989-28-79-82125-8,,107020-78-6993,107020-39
