BookID,Title,AuthID,Genre,Volume Number,Staff Comment
MM424,(im)Mortality,CW626,Young Adult,,Would you want to live forever? Doesn't that depend on what sort of life you'd who you'd spend it with? 
NR695,9803 North Millworks Road,CS190,Mystery,1,
AM124,A Horrible Human with the Habits of a Monster,KD840,Fiction,,"""This graphic novel is better than years of marriage counceling"""
AK974,Adventures of Kaya,WH901,Young Adult,,
AD222,Alanna Saves the Day,BH149,Childrens,,Alanna didn't expect this Tuesday to be any different than the Tuesday before and the Tuesday before that. She was wrong. Can she make it to Wednesday?
AY135,And I Said Yes,EK605,Fiction,,
BB194,Ballinby Boys,AM329,SciFi/Fantasy,,What? Disaster. Where? The stars. When? Now. Who? The Ballinby Boys. How? You'll have to turn the page to find out
BF889,Banana Slug and the Glass Half Full,GG800,Childrens,1,Glug glug glug BANANA SLUG! 
BC244,Banana Slug and the Lost Cow,HB302,Childrens,2,Can Banana Slug find Farmer Fern's missing cow before dark?
BR858,Banana Slug and the Mossy Rock,MW974,Childrens,3,Come play on a rainy day! Bad weather can't stop Banana Slug!
BF374,Banana Slug and Xyr Friends,HB302,Childrens,4,
BS284,Burnished Silver,LD375,Romance,7,Book Seven of Esme's Ladies
CH391,Can I Be Honest?,CF829,Young Adult,,
CC830,Cimornul,JH502,SciFi/Fantasy,,
CP573,Concerning Prophecy,GH671,SciFi/Fantasy,,As someone who hates prophecy Lydan seems an unlikely guardian of the Prophetic Vaults of Yu'ul. But it was prophecied that someone matching her description would someday save Yu'ul from its doom. The Elders don't take such things lightly. But what Lydan asks herself does it mean to save something? Especially when the cost is...concerning. 
DY800,Did You Hear?,LD375,Fiction,3,"""The best beach-book I've ever read"" ""Easy and fun without being vapid"" "
DE571,Don't Check your Ego,RL217,Nonfiction,,
DR914,Dust on the Rim,KY296,SciFi/Fantasy,,
HS107,Hashtag QuokkaSelfie,LL585,Nonfiction,,
HP265,Heliotrope Pajamas,MW974,Childrens,,Wilberforce isn't sure about bedtime in a new bed in a new house in a new town. But when his grandmother brings him a pair of heliotrope pajamas Wilberforce finds out bedtime can be downright magical. 
IC739,Inconvenient Confessions: a memoir,OL640,Memoir,,Lowry's comedic genius shines through every moment of her memoir. Told with clear eyes and biting wit the anecdotes of each chapter bring to life a world of eccentric academics. The literarily-inclinded daughter of a physicist  and an epidemiologist Lowry was forced to find her own way toward normal through an upbringing that was anything but. 
IA439,Interrobangs for All,EK605,Fiction,,
IG460,It's Never Just a Glass,LN356,Young Adult,,
KA663,Kalakalal Avenue,EK605,Fiction,,
LB510,Lace and Brandy,LD375,Romance,5,Book Five of Esme's Ladies
