Checkout_ID,ISBN,CheckoutMonth,NumberCheckouts
1,989-28-3705-987-7,1,32
2,989-28-3705-987-7,3,32
3,989-28-3705-987-7,11,41
4,989-28-3705-987-7,4,37
5,989-28-3705-987-7,5,30
6,989-28-3705-987-7,6,25
7,989-28-3705-987-7,12,25
8,989-28-3705-987-7,7,30
9,989-28-3705-987-7,9,30
10,989-28-3705-987-7,2,24
11,989-28-3705-987-7,8,24
12,989-28-3705-987-7,10,25
13,989-28-79-18127-7,8,7
14,989-28-79-64693-6,8,3
15,989-28-79-18127-7,9,4
16,989-28-79-64693-6,9,7
17,989-28-79-18127-7,2,4
18,989-28-79-64693-6,2,5
19,989-28-79-18127-7,3,6
20,989-28-79-64693-6,3,5
21,989-28-79-18127-7,6,2
22,989-28-79-64693-6,6,6
23,989-28-79-18127-7,4,5
24,989-28-79-64693-6,4,4
25,989-28-79-18127-7,7,4
26,989-28-79-64693-6,7,8
27,989-28-79-18127-7,5,2
28,989-28-79-64693-6,5,5
29,989-28-79-18127-7,11,5
30,989-28-79-64693-6,11,8
31,989-28-79-18127-7,10,2
32,989-28-79-64693-6,10,7
33,989-28-79-18127-7,1,2
34,989-28-79-64693-6,1,1
35,989-28-79-18127-7,12,4
36,989-28-79-64693-6,12,7
37,989-28-79-68089-3,3,33
38,989-28-79-68089-3,4,27
39,989-28-79-68089-3,5,36
40,989-28-79-68089-3,6,29
41,989-28-79-68089-3,7,32
42,989-28-79-68089-3,8,34
43,989-28-79-68089-3,1,27
44,989-28-79-68089-3,2,32
45,989-28-79-68089-3,9,30
46,989-28-79-68089-3,12,20
47,989-28-79-68089-3,10,26
48,989-28-79-68089-3,11,17
49,989-28-3705-222-9,8,71
50,989-28-3705-222-9,9,55
51,989-28-3705-222-9,1,68
52,989-28-3705-222-9,10,45
53,989-28-3705-222-9,11,40
54,989-28-3705-222-9,12,52
55,989-28-3705-222-9,2,24
56,989-28-3705-222-9,3,21
57,989-28-3705-222-9,7,24
58,989-28-3705-222-9,5,24
59,989-28-3705-222-9,6,17
60,989-28-3705-222-9,4,18
61,989-28-79-16826-1,7,9
62,989-28-79-16826-1,8,8
63,989-28-79-16826-1,4,8
64,989-28-79-16826-1,5,6
65,989-28-79-16826-1,6,6
66,989-28-79-16826-1,3,5
67,989-28-79-16826-1,1,5
68,989-28-79-16826-1,2,4
69,989-28-79-16826-1,9,4
70,989-28-79-16826-1,10,4
71,989-28-79-16826-1,11,4
72,989-28-79-16826-1,12,4
73,989-28-3705-592-3,7,15
74,989-28-3705-152-9,7,18
75,989-28-3705-592-3,6,17
76,989-28-3705-152-9,6,15
77,989-28-3705-592-3,1,15
78,989-28-3705-152-9,1,15
79,989-28-3705-592-3,5,12
80,989-28-3705-152-9,5,15
81,989-28-3705-592-3,8,12
82,989-28-3705-152-9,8,15
83,989-28-3705-592-3,3,12
84,989-28-3705-152-9,3,12
85,989-28-3705-592-3,4,15
86,989-28-3705-152-9,4,14
87,989-28-3705-592-3,10,10
88,989-28-3705-152-9,10,10
89,989-28-3705-592-3,11,15
90,989-28-3705-152-9,11,11
91,989-28-3705-592-3,12,12
92,989-28-3705-152-9,12,10
93,989-28-3705-592-3,9,13
94,989-28-3705-152-9,9,13
95,989-28-3705-592-3,2,9
96,989-28-3705-152-9,2,9
97,989-28-3705-583-1,1,24
98,989-28-3705-775-0,1,17
99,989-28-3705-583-1,6,17
100,989-28-3705-775-0,6,26
101,989-28-3705-583-1,2,19
102,989-28-3705-775-0,2,23
103,989-28-3705-583-1,3,18
104,989-28-3705-775-0,3,18
105,989-28-3705-583-1,4,23
106,989-28-3705-775-0,4,19
107,989-28-3705-583-1,5,19
108,989-28-3705-775-0,5,18
109,989-28-3705-583-1,7,23
110,989-28-3705-775-0,7,18
111,989-28-3705-583-1,8,18
112,989-28-3705-775-0,8,19
113,989-28-3705-583-1,9,16
114,989-28-3705-775-0,9,16
115,989-28-3705-583-1,10,20
