ISBN,BookID,Format,PubID,Publication Date,Pages,Print Run Size (k),Price
989-28-79-70597-8,TT359,Hardcover,ESP,6/2/1978,277,15,28
989-28-654-6930-3,NP937,Hardcover,PP,8/18/1978,394,6,31
989-28-79-52883-6,PA169,Hardcover,PP,9/8/1978,384,10,28
989-28-79-43574-5,TM925,Graphic,ESP,9/15/1978,187,8,24
989-28-654-5794-2,HS107,Hardcover,PP,9/29/1978,640,3,27
989-28-79-44730-4,DR914,Mass market paperback,ESP,1/5/1979,575,4,9
989-28-654-5771-3,HS107,Trade paperback,PP,1/12/1979,631,5,16
989-28-79-04510-4,TT359,Mass market paperback,ESP,2/16/1979,264,25,9
989-28-79-18127-7,AY135,Hardcover,ESP,4/24/1979,704,15,28
989-28-79-68089-3,BB194,Hardcover,ESP,5/18/1979,401,10,22
989-28-79-22871-2,TI225,Mass market paperback,ESP,7/13/1979,452,15,9
989-28-79-01991-4,PA169,Trade paperback,PP,9/7/1979,356,16,13
989-28-654-0047-4,NP937,Trade paperback,PP,4/18/1980,371,6,16
989-28-79-67891-3,SS361,Hardcover,ESP,7/25/1980,105,14,28
989-28-654-2620-7,NC652,Hardcover,PP,9/12/1980,390,4,33
989-28-3705-054-6,HP265,Paperback,CHP,3/6/1981,28,18,8
989-28-79-45675-7,SS361,Trade paperback,ESP,7/3/1981,105,20,13
989-28-79-82749-6,NR695,Hardcover,ESP,7/10/1981,384,5,23
989-28-79-30536-9,NB483,Mass market paperback,ESP,7/26/1981,311,22,9
989-28-229-1404-4,TS869,Mass market paperback,SSC,12/11/1981,381,11,10
989-28-229-7592-2,MW621,Mass market paperback,SSC,3/5/1982,362,13,10
989-28-3705-222-9,AK974,Trade paperback,CHP,7/23/1982,256,35,12
989-28-79-69807-2,NR695,Mass market paperback,ESP,9/24/1982,414,12,9
989-28-79-42728-3,IA439,Hardcover,ESP,11/5/1982,493,20,28
989-28-654-7965-4,WO506,Hardcover,PP,12/17/1982,288,3,30
989-28-79-87459-9,TH556,Graphic,ESP,12/21/1982,88,3,24
989-28-229-6632-6,WG715,Mass market paperback,SSC,2/14/1983,423,16,10
989-28-79-32105-5,DY800,Mass market paperback,ESP,2/25/1983,390,29,9
989-28-79-71565-6,TM925,Hardcover,ESP,2/25/1983,819,25,22
989-28-79-43841-8,QQ737,Hardcover,ESP,4/1/1983,373,3,19
989-28-79-61125-5,IA439,Trade paperback,ESP,5/27/1983,470,40,13
989-28-654-0127-3,WO506,Trade paperback,PP,12/9/1983,295,7,17
989-28-654-9826-6,DE571,Hardcover,PP,12/16/1983,480,4,29
989-28-654-8573-0,TH143,Hardcover,PP,1/13/1984,598,9,24
989-28-79-82125-8,TH296,Hardcover,ESP,2/10/1984,293,10,23
989-28-79-14379-4,QQ737,Trade paperback,ESP,2/29/1984,373,42,12
989-28-654-6033-1,TH143,Trade paperback,PP,1/4/1985,598,12,16
989-28-229-0197-6,TO369,Mass market paperback,SSC,2/8/1985,255,20,10
989-28-654-4370-9,DE571,Trade paperback,PP,3/29/1985,480,5,16
989-28-79-13801-1,TM925,Mass market paperback,ESP,7/19/1985,672,71,9
989-28-3705-633-3,IG460,Hardcover,CHP,8/9/1985,222,3,20
989-28-3705-987-7,AD222,Trade paperback,CHP,9/22/1985,188,10,9
989-28-79-13871-4,TH296,Mass market paperback,ESP,9/27/1985,357,25,9
989-28-79-05638-4,TC188,Hardcover,ESP,11/15/1985,485,12,28
989-28-79-91028-0,TM925,Trade paperback,ESP,4/14/1986,784,50,13
989-28-3705-966-2,HP265,Paperback,CHP,5/2/1986,31,25,11
989-28-3705-607-4,IG460,Trade paperback,CHP,7/25/1986,218,10,12
989-28-229-5891-8,LB510,Mass market paperback,SSC,7/25/1986,380,25,10
989-28-3705-592-3,BF889,Board book,CHP,10/10/1986,12,8,7
989-28-79-82197-5,TC188,Trade paperback,ESP,12/5/1986,469,20,13
989-28-79-22562-9,ZT703,Hardcover,ESP,12/12/1986,356,18,21
989-28-79-40897-8,PP866,Hardcover,ESP,2/20/1987,656,32,22
